detail_description,inclusion_reason
hardware purchase charge,device hardware purchase
device discount repayment,device financing repayment
monthly telus easy payment,device financing (TEP)
device discount repay. canc.,device financing cancellation
device discount repay. - cr,device financing credit
monthly easy payment,device financing
telus easy payment balance,device financing balance
equipment adjustment,equipment charge adjustment
gobc 36 mos easy payment fee%,device financing fee
gobc data device pom,data device purchase
office phone - device down payment,device down payment
smb hardware purchase,device hardware purchase
easy payment%,device financing
device care complete%,device care
